solar_gains,heating_demand,cooling_demand,lighting_demand,internal_gains
0.0,623.154885,0,0,490.0
0.0,599.313921,0,0,490.0
0.0,551.627404,0,0,490.0
0.0,524.471486,0,0,490.0
0.0,489.603546,0,0,490.0
0.0,450.970215,0,0,490.0
4.358959,378.337457,0,409.5,538.0
269.963759,190.315502,0,0,586.0
420.720613,52.377618,0,0,634.0
609.454317,0,0,0,682.0
593.021615,0,0,0,682.0
481.092905,0,0,0,586.0
189.197045,0,0,0,634.0
232.235919,0,0,0,682.0
2.14053,0,0,409.5,682.0
0.0,0,0,409.5,586.0
0.0,0,0,409.5,538.0
0.0,13.477498,0,0,490.0
0.0,27.2921,0,0,490.0
0.0,35.840336,0,0,490.0
0.0,51.366962,0,0,490.0
0.0,65.930168,0,0,490.0
0.0,87.732699,0,0,490.0
0.0,108.809945,0,0,490.0
0.0,417.43437,0,0,490.0
0.0,411.568709,0,0,490.0
0.0,380.286862,0,0,490.0
0.0,368.102218,0,0,490.0
0.0,346.897403,0,0,490.0
0.0,320.733349,0,0,490.0
4.358959,259.480337,0,409.5,538.0
269.963759,81.843796,0,0,586.0
420.720613,0,0,0,634.0
609.454317,0,0,0,682.0
593.021615,0,0,0,682.0
481.092905,0,0,0,586.0
189.197045,0,0,0,634.0
232.235919,0,0,0,682.0
2.14053,0,0,409.5,682.0
0.0,0,0,409.5,586.0
0.0,0,0,409.5,538.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,22.268946,0,0,490.0
0.0,49.066237,0,0,490.0
0.0,362.910906,0,0,490.0
0.0,361.809358,0,0,490.0
0.0,334.875349,0,0,490.0
0.0,326.658641,0,0,490.0
0.0,309.075053,0,0,490.0
0.0,286.215815,0,0,490.0
4.358959,227.978851,0,409.5,538.0
269.963759,53.094825,0,0,586.0
420.720613,0,0,0,634.0
609.454317,0,0,0,682.0
593.021615,0,0,0,682.0
481.092905,0,0,0,586.0
189.197045,0,0,0,634.0
232.235919,0,0,0,682.0
2.14053,0,0,409.5,682.0
0.0,0,0,409.5,586.0
0.0,0,0,409.5,538.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0.245737,0,0,490.0
0.0,28.967357,0,0,490.0
0.0,344.568212,0,0,490.0
0.0,345.069399,0,0,490.0
0.0,319.598082,0,0,490.0
0.0,312.71626,0,0,490.0
0.0,296.35092,0,0,490.0
0.0,274.603482,0,0,490.0
4.358959,217.381173,0,409.5,538.0
269.963759,43.423143,0,0,586.0
420.720613,0,0,0,634.0
609.454317,0,0,0,682.0
593.021615,0,0,0,682.0
481.092905,0,0,0,586.0
189.197045,0,0,0,634.0
232.235919,0,0,0,682.0
2.14053,0,0,409.5,682.0
0.0,0,0,409.5,586.0
0.0,0,0,409.5,538.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,21.668837,0,0,490.0
0.0,337.907417,0,0,490.0
0.0,338.990607,0,0,490.0
0.0,314.050438,0,0,490.0
0.0,307.653354,0,0,490.0
0.0,291.730397,0,0,490.0
0.0,270.386688,0,0,490.0
4.358959,213.532831,0,409.5,538.0
269.963759,39.911059,0,0,586.0
420.720613,0,0,0,634.0
609.454317,0,0,0,682.0
593.021615,0,0,0,682.0
481.092905,0,0,0,586.0
189.197045,0,0,0,634.0
232.235919,0,0,0,682.0
2.14053,0,0,409.5,682.0
0.0,0,0,409.5,586.0
0.0,0,0,409.5,538.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,0,0,0,490.0
0.0,19.011833,0,0,490.0
0.0,335.482575,0,0,490.0
0.0,336.77764,0,0,490.0
0.0,312.030835,0,0,490.0
0.0,305.810219,0,0,490.0
0.0,290.04831,0,0,490.0
0.0,268.851577,0,0,490.0
4.358959,212.131853,0,409.5,538.0
269.963759,38.632495,0,0,586.0
420.720613,0,0,0,634.0
609.454317,0,0,0,682.0
593.021615,0,0,0,682.0
481.092905,0,0,0,586.0
189.197045,0,0,0,634.0
232.235919,0,0,0,682.0
2.14053,0,0,409.5,682.0
0.0,0,0,409.5,586.0
0.0,0,0,409.5,538.0
0.0,0,0,0,490.0
